Country,Number of Nobel laureates
United States,383 
United Kingdom,132
Germany,108
France,69 
Sweden,32
Russia/Soviet Union,31
Switzerland,28
Japan,28
Canada,27
Austria,22
Netherlands,21
Italy,20
Poland,18
Denmark,13
Hungary,13
Norway,13
India,12
Australia,14
Israel,12
Belgium,11
Ireland,11
South Africa,11
hina,8
Spain,8
Czech Republic,6
Ukraine,6
Argentina,5
Finland,5
Egypt,4
Romania,4
Lithuania,3
Mexico,3
New Zealand,3
Algeria,2
Bangladesh,2
Belarus,2
Bosnia and Herzegovina,2
Chile,2
Colombia,2
Croatia,2
East Timor,2
Greece,2
Guatemala,2
Liberia,2
Luxembourg,2
Pakistan,2
Portugal,2
Saint Lucia,2
Taiwan,2
Turkey,2
Yugoslavia,2
Azerbaijan,1
Brazil,1
Bulgaria,1
Democratic Republic of the Congo,1
Costa Rica,1
Cyprus,1
Ethiopia,1
Faroe Islands,1
Ghana,1
Hong Kong,1
Iceland,1
Iraq,1
Iran,1
Kenya,1
Latvia,1
North Macedonia,1
Morocco,1
Myanmar,1
Nigeria,1
Palestine,1
Peru,1
Slovenia,1
Korea, South,1
Tibet,1
Trinidad and Tobago,1
Tunisia,1
Venezuela,1
Vietnam,1
Yemen,1
