Year, Value
1901, 6
1902, 7
1903, 7
1904, 5
1905, 5
1906, 6
1907, 6
1908, 8
1909, 7
1910, 4
1911, 6
1912, 6
1913, 5
1914, 3
1915, 4
1916, 1
1917, 3
1918, 2
1919, 4
1920, 5
1921, 5
1922, 6
1923, 5
1924, 3
1925, 6
1926, 6
1927, 7
1928, 4
1929, 7
1930, 5
1931, 8
1932, 5
1933, 5
1934, 7
1935, 5
1936, 8
1937, 7
1938, 5
1939, 6
1940, 0
1941, 0
1942, 0
1943, 4
1944, 5
1945, 7
1946, 8
1947, 6
1948, 4
1949, 8
1950, 8
1951, 7
1952, 7
1953, 8
1954, 9
1955, 5
1956, 10
1957, 6
1958, 11
1959, 7
1960, 6
1961, 7
1962, 8
1963, 9
1964, 8
1965, 8
1966, 6
1967, 8
1968, 7
1969, 9
1970, 9
1971, 6
1972, 11
1973, 11
1974, 13
1975, 12
1976, 9
1977, 11
1978, 11
1979, 11
1980, 11
1981, 10
1982, 9
1983, 7
1984, 9
1985, 7
1986, 11
1987, 10
1988, 12
1989, 9
1990, 11
1991, 6
1992, 8
1993, 11
1994, 12
1995, 11
1996, 13
1997, 12
1998, 12
1999, 7
2000, 13
2001, 14
2002, 14
2003, 12
2004, 14
2005, 15
2006, 8
2007, 13
2008, 15
2009, 18
2010, 12
2011, 16
2012, 14
2013, 15
2014, 15
2015, 12
2016, 11
